qid,sitelinks,familiarity
Q1324280,25,5
Q1324578,33,2
Q132508,24,1
Q1325234,28,1
Q1325913,19,1
Q1326230,25,2
Q1326261,28,5
Q1326446,25,4
Q1326723,16,4
Q1326733,16,5
Q1326767,19,5
Q1327514,21,3
Q1327886,39,2
Q1327919,28,2
Q1328165,33,5
Q1329141,36,5
Q133132,88,0
Q1331646,12,2
Q1333283,8,3
Q1333395,22,2
Q1333411,27,2
Q1333838,13,3
Q1334899,26,5
Q1334978,29,4
Q1335201,37,3
Q1335573,17,3
Q133566,81,5
Q133599,19,1
Q13360213,34,5
Q1336847,22,0
Q13371,151,5
Q133800029,1,3
Q1338207,34,3
Q13383459,33,4
Q133837333,1,4
Q133850716,2,1
Q1338832,17,3
Q1338856,27,5
Q1339602,19,4
Q133963,16,5
Q13397,43,5
Q1339983,14,0
Q134102,71,2
Q1342595,8,0
Q1342690,23,3
Q1343055,14,4
Q1344297,16,4
Q1344367,13,3
Q134437701,3,2
Q1344400,22,5
Q1344500,12,0
Q1344889,33,4
Q134602126,1,2
Q134699168,7,2
Q1347162,13,3
Q1347299,15,4
Q1347634,20,4
Q1348023,17,4
Q1348507,30,5
Q1348537,13,3
Q134883,80,5
Q1348939,20,0
Q1348946,23,2
Q1349784,16,1
Q1349796,26,4
Q1350009,19,3
Q1350750,16,4
Q135104,53,3
Q1351185,6,2
Q1351208,31,2
Q1351288,27,5
Q135219325,1,0
Q135224363,2,0
Q1352282,32,4
Q135287479,2,1
Q1353,204,5
Q1353735,16,0
Q135393692,1,1
Q135395147,1,3
Q1354262,23,0
Q135470900,3,5
Q1355516,19,0
Q1356056,18,0
Q1356138,28,4
Q1356297,36,0
Q135630,46,2
Q13564478,12,3
Q135651473,3,0
Q13576677,5,3
Q1357713,38,5
Q13582,71,0
Q1359125,19,5
Q135972309,2,0
Q1359892,22,3
Q1359908,23,3
Q1359941,20,4
Q1360011,17,1
Q1360027,18,1
Q136090574,19,1
Q1362125,18,3
Q1362629,35,3
Q1362638,27,4
Q136349142,1,0
Q1363780,20,4
Q13641055,11,5
Q1364393,11,4
Q1364394,26,4
Q13644977,3,3
Q13650874,6,3
Q1365153,23,1
Q136536203,39,1
Q1365606,17,0
Q1366453,30,3
Q1366462,31,4
Q136702872,1,0
Q136706279,1,2
Q136751933,1,0
Q136758468,21,0
Q13677,88,5
Q136788183,2,0
Q1367970,29,3
Q1368284,7,3
Q1368556,28,5
Q1368796,22,3
Q13689,32,5
Q1369054,12,4
Q1369097,21,3
Q1369225,16,3
Q1369495,25,5
Q13695,88,2
Q136975,22,3
Q1370811,15,2
Q1371375,15,3
Q13715708,1,0
Q13715726,1,0
Q13715780,1,1
Q13715812,1,1
Q13715861,1,1
Q13715977,1,0
Q13715990,1,0
Q13716050,1,0
Q13716234,1,1
Q13716293,1,0
Q13716314,1,0
Q13716337,1,0
Q13716650,2,0
Q13716681,1,1
Q13716708,1,0
Q13716770,1,0
Q13716919,1,0
Q13716948,1,0
Q13717045,1,0
Q13717123,1,0
Q13717266,1,0
Q1372014,18,5
Q1372129,22,1
Q1372287,11,3
Q1372543,18,2
Q137323701,3,1
Q137330357,2,0
Q137345885,3,2
Q1373549,21,3
Q1373728,22,2
Q1374399,14,2
Q137570783,3,5
Q1376196,17,1
Q1376459,13,4
Q137650832,4,0
Q1377256,25,0
Q1377634,28,4
Q1378533,15,4
Q138101,43,3
Q1381516,23,5
Q138324,10,1
Q1383747,9,1
Q1383752,10,4
Q1384735,22,0
Q1384780,11,2
Q1385231,15,1
Q138555,11,5
Q138578,74,4
Q13861080,15,1
Q1389520,20,5
Q13917,146,1
Q1393350,14,4
Q139501815,2,4
Q1395431,30,5
Q139575,5,2
Q139738,26,2
Q13974,95,4
Q1399481,13,1
Q1399558,13,0
Q139971,14,2
Q1400070,9,2
Q1401387,20,5
Q1402600,9,3
Q140315151,1,1
Q1403582,10,4
Q14040866,14,3
Q1404773,17,4
Q1404928,11,4
Q140697660,19,0
Q1408037,19,0
Q1408117,13,5
Q1409805,14,5
Q141062238,4,0
Q1412194,9,1
Q1412435,17,3
Q1413683,16,1
Q1413761,10,2
Q1414059,38,4
Q1414600,24,4
Q1416580,10,3
Q1416890,18,1
Q141690,10,5
Q1417597,23,3
Q1417841,9,2
Q1418042,16,4
Q1419018,10,4
Q1419663,11,1
Q1419675,26,5
Q1419691,26,5
Q1419892,19,5
Q1420043,12,3
Q1420103,32,4
Q14207799,9,5
Q1420782,14,2
Q1420866,15,3
Q1421270,9,4
Q1421994,35,1
Q1422000,24,4
Q1422396,20,1
Q14226100,16,3
Q1422777,23,0
Q1423180,10,1
Q1423431,20,3
Q1424077,23,1
Q1424353,23,0
Q1425790,21,4
Q142617,23,3
Q1426190,14,5
Q1427150,16,3
Q1427377,21,4
Q142740,17,3
Q1427832,15,3
Q14288,22,4
Q14289857,32,3
Q1429748,19,4
Q1430113,41,2
Q1431112,16,0
Q1432194,5,1
Q143265,15,4
Q1432822,27,3
Q1433264,12,2
Q1433544,27,4
Q1434400,9,2
Q1434936,10,1
Q1435468,16,3
Q1435551,19,4
Q1436185,27,2
Q1438470,11,4
Q1438579,10,3
Q1438659,8,3
Q1440151,20,3
Q1442165,8,3
Q144242,20,0
Q14437,22,2
Q14437811,7,2
Q1443908,16,0
Q144417,19,1
Q1446181,21,3
Q1446543,7,4
Q14477440,10,3
Q14489267,11,5
Q14504,23,3
Q1451811,23,4
Q1452315,28,1
Q1453111,20,0
Q1453649,7,3
Q1454303,14,1
Q1454776,37,5
Q14552147,4,0
Q1455447,29,4
Q1456206,10,2
Q1457322,24,1
Q1457764,8,1
Q1459037,27,1
Q145934,18,0
Q146138,56,3
Q14623011,17,4
Q14637505,3,2
Q1464499,21,4
Q1465709,20,0
Q14660880,5,1
Q1466131,15,0
Q146690,40,4
Q1467610,39,3
Q14682028,6,4
Q14682534,5,1
Q14683658,8,1
Q14684154,17,4
Q1470041,6,4
Q147009,21,2
Q1470276,25,4
Q1470414,18,4
Q1471225,10,4
Q14715618,6,2
Q1472511,25,1
Q1473674,18,5
Q1474299,16,2
Q1474656,20,4
Q147478,34,3
Q14751,47,0
Q1475262,12,2
Q1475527,16,1
Q1475961,21,0
Q1476505,22,3
Q14767,28,5
Q1477826,21,3
Q1478288,19,3
Q1478398,6,1
Q1478423,27,3
Q1478843,26,5
Q14790402,20,2
Q1479078,7,4
Q1479784,21,3
Q1483993,11,4
Q14856650,55,0
Q14862239,41,5
Q1490,301,2
Q1490933,14,4
Q14915993,15,5
Q1492,246,5
Q1492863,3,5
Q1494126,11,4
Q14948844,6,4
Q14948852,4,4
Q14948853,4,3
Q14948854,4,3
Q14948855,4,2
Q1495052,25,5
Q14956759,1,3
Q14957064,6,1
Q14957066,1,2
Q1496137,15,1
Q1496656,11,4
Q149836,41,4
Q1498881,23,0
Q150,351,0
Q1500067,7,4
Q150066,37,4
Q150120,48,3
Q15022,26,5
Q15041623,10,1
Q15042147,20,3
Q15042373,17,5
Q15043437,4,4
Q15043712,10,2
Q15043716,10,2
Q1505471,12,0
Q1506364,6,1
Q1507054,6,2
Q1507273,8,3
Q1507644,16,4
Q1507974,25,3
Q150981,62,0
Q151030,54,4
Q1511813,39,5
Q15121,70,0
Q15121515,13,2
Q15122172,5,2
Q151356,58,5
Q151423,60,0
Q15144,14,4
Q1514799,10,2
Q15166,15,5
Q15167,13,5
Q15168,13,5
Q1517478,15,4
Q15177600,12,5
Q151785,18,2
Q1517884,31,5
Q15181046,3,1
Q1518215,13,2
Q151897,75,5
Q151914,9,4
Q1519349,7,1
Q151952,72,1
Q151963,58,5
Q1519964,17,4
Q1520260,14,0
Q152071,10,3
Q152073,19,5
Q15207463,3,3
Q152087,81,4
Q15213896,3,4
Q15215081,67,1
Q15217115,1,1
Q15217611,22,5
Q152252,50,5
Q15227670,3,1
Q15228643,3,3
Q15228657,4,3
Q15229742,3,2
Q1523290,33,0
Q152341,26,3
Q1524,288,5
Q152413,45,4
Q15242073,3,3
Q15246,33,5
Q152467,57,4
Q1524795,7,2
Q15260223,6,3
Q15260958,4,3
Q15261119,7,3
Q15262098,23,4
Q15262151,7,3
Q15264266,21,3
Q15275136,22,3
Q15275733,5,1
Q15275798,14,4
Q152783,49,5
Q15278873,1,0
Q1528245,14,2
Q15293256,8,0
Q1529544,23,5
Q153072,19,5
Q153136,75,1
Q1531570,51,0
Q1531757,13,3
Q1532554,9,3
Q1533416,20,4
Q1534481,13,2
Q1534781,14,3
Q15348,40,1
Q1534879,10,3
Q153491,49,2
Q1535247,34,4
Q153529,60,0
Q1535378,12,4
Q1535460,8,2
Q153559,48,1
Q1535681,13,3
Q1536264,14,1
Q1536618,19,1
Q1537282,17,3
Q1537378,35,1
Q1537446,25,5
Q1537518,23,0
Q1537553,9,3
Q1538339,14,5
Q1538389,14,4
Q15385029,5,0
Q15385042,5,0
Q15385297,5,0
Q1538826,53,2
Q1538837,27,5
Q153951,43,5
Q153992,56,1
Q153998,39,0
Q1540177,15,3
Q1540301,7,3
Q1540683,23,3
Q1540709,7,4
Q1541450,20,4
Q154182,74,1
Q1542213,21,2
Q1542352,8,2
Q1542408,29,5
Q1543069,4,1
Q1543570,12,5
Q1544891,24,0
Q154494,47,0
Q154563,51,5
Q1545681,11,0
Q1546101,10,4
Q1546437,42,3
Q15470,90,2
Q15471,49,3
Q1547268,17,2
Q1547466,30,5
Q1547656,12,4
Q154828,52,5
Q1548664,21,5
Q1548898,8,4
Q1548951,22,1
Q1549270,18,5
Q154987,44,5
Q1550994,10,0
Q155103,39,0
Q155210,39,4
Q15550660,5,0
Q155643,26,5
Q15568,53,5
Q15573853,9,3
Q15581,40,0
Q1560540,25,5
Q1560877,14,5
Q15621,54,1
Q15628824,4,4
Q15641,47,3
Q15645880,5,1
Q15645981,5,0
Q15646379,5,0
Q15647113,5,0
Q15647536,5,0
Q15648788,5,2
Q15651159,4,3
Q156616,55,1
Q15663519,5,0
Q1566394,21,1
Q1567095,28,4
Q156716,34,4
Q156722,44,5
Q1567534,15,4
Q1567576,21,4
Q1567768,8,3
Q1567972,13,3
Q1568028,17,2
Q1568165,23,1
Q15681732,5,0
Q1568232,18,4
Q1568693,16,4
Q1568821,12,4
Q15689910,5,0
Q156908,38,0
Q1569421,20,5
Q15696466,5,0
Q15697032,5,0
Q157003,39,3
Q1570445,10,1
Q15707404,9,4
Q15707573,14,0
Q1570958,29,4
Q1571756,16,2
Q1572723,14,1
Q1572931,23,1
Q157298,61,5
Q1573003,23,0
Q1573137,14,4
Q157316,47,5
Q15733006,55,1
Q1573666,12,3
Q157367,42,0
Q1574043,5,4
Q1575432,7,1
Q1575603,24,0
Q157669,29,2
Q1576733,18,3
Q1576882,10,3
Q1577019,17,2
Q1577033,18,1
Q157754,30,0
Q1577742,15,4
Q157825,43,4
Q1579446,14,1
Q1579642,16,5
Q1580126,13,1
Q158058,38,1
Q1580885,19,2
Q158106,42,2
Q15811,13,5
Q15816551,6,2
Q15830964,13,2
Q15831678,18,0
Q1583368,8,3
Q158428,21,0
Q1584928,6,4
Q1585344,15,0
Q1585650,9,1
Q1586661,16,0
Q1586672,24,1
Q158689,37,1
Q1587288,16,2
Q1587840,10,4
Q1587858,9,5
Q1587879,13,3
Q1588813,6,1
Q158893,53,2
Q15890801,12,0
Q1589941,18,5
Q159070,36,4
Q15910615,7,5
Q15915267,2,5
Q15915368,2,5
Q15919795,3,4
Q15921267,3,3
Q1592420,6,4
Q1592523,22,2
Q1592883,15,3
Q15931237,2,1
Q15934393,2,4
Q1594001,4,1
Q1595391,8,2
Q1595395,10,1
Q15958582,11,3
Q15958739,21,4
Q15961642,8,3
Q15961925,13,1
Q159848,89,5
Q16002749,18,4
Q1601019,23,4
Q160112,80,5
Q160236,87,5
Q160272,31,5
Q1602873,14,3
Q160302,90,4
Q16034466,2,0
Q160409,87,5
Q16057101,1,0
Q16057349,2,0
Q16059622,45,1
Q16060299,8,1
Q160659,78,5
Q160700,42,5
Q1608760,15,4
Q160899,50,5
Q1609180,14,3
Q161156,29,0
Q161181,12,2
Q161222,38,1
Q16129931,5,0
Q161405,34,1
Q16153104,35,0
Q1616115,11,2
Q1616123,16,4
Q161741,64,0
Q1618787,16,2
Q161885,90,0
Q1619174,12,0
Q16207035,6,2
Q162111,38,4
Q1621514,13,3
Q16242883,6,2
Q1625053,13,3
Q1625364,19,5
Q16256099,6,5
Q1626609,10,2
Q162684,40,4
Q1626931,15,4
Q162722,26,5
Q1628075,18,2
Q162873,35,0
Q1629214,10,3
Q1629947,13,0
Q1630074,10,0
Q163012,46,3
Q1630982,9,0
Q1631359,15,4
Q1632007,10,3
Q1632035,10,3
Q1632115,14,3
Q163319,8,3
Q1633586,26,3
Q1633842,32,5
Q1635335,7,3
Q1635587,25,0
Q1635932,18,3
Q1636176,22,3
Q1636237,25,1
Q1636790,10,2
Q1636837,9,3
Q1636910,14,5
Q1637094,7,3
Q163761,15,4
Q1638031,15,0
Q1638625,13,3
Q163891,74,1
Q163948,54,2
Q163966,48,4
Q163995,76,4
Q164027,81,5
Q1640397,14,4
Q1640726,27,3
Q1640731,22,3
Q1640969,8,0
Q1641001,26,2
Q1641049,25,3
Q1641934,14,2
Q1643503,13,3
Q16466709,3,3
Q164679,71,1
Q1647895,16,3
Q16480212,2,4
Q16480224,3,3
Q16481383,6,3
Q1648312,12,3
Q16489119,3,0
Q16489564,6,3
Q16490390,1,5
Q16490676,2,3
Q16491684,4,2
Q16493417,5,2
Q16494119,4,1
Q16494156,7,2
Q1650230,26,3
Q16507537,1,2
Q16522996,12,2
Q1652985,12,0
Q165366,38,5
Q1653952,9,3
Q165631,40,3
Q165636,20,2
Q16565567,3,1
Q16569925,1,0
Q16576268,1,0
Q16578049,4,1
Q16578061,4,2
Q16578453,1,3
Q16578983,5,2
Q16585569,19,0
Q1658567,22,2
Q16589334,2,3
Q1659456,36,2
Q1659559,12,4
Q165980,88,4
Q1659995,15,3
Q1660063,29,0
Q16605297,1,2
Q16609767,3,2
Q16613397,2,3
Q16616280,3,3
Q16616350,3,3
Q16621061,3,3
Q16623003,3,3
Q16635575,1,3
Q16638102,3,2
Q16641790,3,2
Q1664711,15,1
Q1664751,15,2
Q1665019,19,3
Q1665209,6,1
Q1666342,11,1
Q166640,71,3
Q1667757,22,2
Q16685337,9,1
Q1669452,11,5
Q1669492,12,5
Q1669511,13,5
Q167067,27,3
Q1670994,30,3
Q16724433,15,4
Q167299,10,4
Q1673256,13,0
Q1673558,19,1
Q167360,35,0
Q16736136,4,1
Q1674820,7,5
Q1674847,8,3
Q167585,15,2
Q167619,17,3
Q1677202,8,1
Q167733,29,3
Q167863,36,4
Q167920,27,1
Q168001,26,5
Q16823226,5,2
Q16827225,5,1
Q16829292,8,4
Q16829863,7,1
Q1683229,18,1
Q1683522,19,5
Q16838705,6,5
Q16840770,31,1
Q1684276,15,1
Q1684512,7,4
Q1684536,9,1
Q168458,9,3
Q16846334,9,1
Q16847350,4,3
Q16849360,7,2
Q16850111,8,1
Q16852143,7,1
Q168545,31,0
Q1686544,30,1
Q16866139,1,1
Q1687025,18,2
Q1687545,10,0
Q168806,18,5
Q16887347,7,3
Q16888858,11,4
Q16889738,3,3
Q16890409,5,0
Q16892546,2,3
Q1689258,18,3
Q16895720,5,1
Q16898598,1,2
Q16899030,7,2
Q16899120,5,1
Q16899203,5,1
Q16899335,5,1
Q16900896,9,2
Q16900897,11,2
Q16901964,4,1
Q1690706,12,4
Q169090,12,5
Q169101,64,4
Q16911666,4,3
Q16911855,2,0
Q16924894,2,4
Q16927648,5,5
Q169293,53,3
Q16931419,5,0
Q16931856,9,5
Q1694207,13,4
Q16942531,27,1
Q16944333,3,3
Q16946970,6,0
Q169492,24,4
Q16950011,4,2
Q16955686,5,3
Q16957737,14,3
Q16966508,1,0
Q16966806,1,1
Q169701,7,0
Q1698446,14,3
Q16985296,17,0
Q169889,100,2
Q170027,87,2
Q17005917,5,4
Q170103,31,5
Q170109,35,3
Q17011318,8,1
Q170119,45,5
Q170123,35,3
Q1702106,20,3
Q17022034,2,2
Q17025263,4,2
Q17038372,2,2
Q170422,54,0
Q17043015,2,2
Q170441,7,0
Q17051553,15,1
Q17055892,4,4
Q17057162,4,4
Q17058434,3,2
Q17058941,4,3
Q170603,74,0
Q17074715,6,2
Q17077124,2,3
Q17079862,4,4
Q17080822,9,1
Q17083617,5,3
Q17083727,4,4
Q17085667,6,5
Q1708743,8,2
Q1708950,13,5
Q1709244,11,4
Q1709447,14,4
Q1710283,29,3
Q171240,72,3
Q171328,112,0
Q1713506,15,3
Q171390,40,1
Q171458,76,4
Q171498,24,0
Q171517,45,5
Q17153100,3,2
Q17154,30,5
Q17155,44,5
Q1716538,14,2
Q17165662,11,3
Q171689,53,2
Q171707,22,0
Q17195719,29,0
Q172,223,5
Q1721899,17,4
Q172190,70,3
Q1722117,18,0
Q1724971,16,2
Q172640,83,2
Q1726607,28,4
Q17266569,4,3
Q17266570,4,3
Q17266571,4,3
Q17266573,4,3
Q17266574,5,3
Q1728667,18,4
Q172892,24,1
Q172898,23,1
Q172927,31,0
Q172939,30,0
Q173039,23,1
Q173166,33,0
Q17333591,3,3
Q1734052,11,0
Q1734280,19,5
Q173457,65,1
Q173498,22,1
Q1736102,16,4
Q1738779,7,5
Q173882,74,5
Q173919,25,5
Q17394000,36,4
Q17395483,11,2
Q1740339,14,0
Q1740355,5,1
Q174062,24,1
Q1741,293,5
Q174193,80,0
Q17419943,9,1
Q1742174,8,5
Q174570,74,4
Q1748,246,5
Q1748556,16,0
Q17498760,2,2
Q17499275,3,5
Q175037,13,0
Q1750428,16,2
Q175055,32,4
Q17505730,7,0
Q1750652,14,4
Q17508776,1,2
Q17511186,14,4
Q17511538,10,2
Q175129,52,2
Q1752484,12,4
Q1752948,14,3
Q1753535,29,3
Q175358,28,0
Q17538813,31,1
Q1754,278,5
Q17541,35,5
Q175508,39,0
Q1755255,25,0
Q1755360,23,4
Q1756626,27,3
Q1756813,21,4
Q17568252,4,2
Q1757014,13,1
Q17570686,4,2
Q17570789,5,4
Q1757744,13,5
Q1758000,13,3
Q1758355,15,3
Q1758503,24,4
Q175863,8,1
Q1759707,14,1
Q1759799,8,3
Q175999,40,2
Q1760090,14,1
Q1760491,24,4
Q176251,37,4
Q17629734,4,1
Q17630330,4,3
Q17631827,4,3
Q1763370,25,3
Q1763376,24,4
Q17634322,3,2
Q17634865,4,3
Q17636129,1,2
Q1763694,24,3
Q176410,32,3
Q176495,34,1
Q1765001,31,0
Q1765582,29,3
Q1766008,17,5
Q1766348,25,3
Q17674329,13,0
Q176821,25,4
Q1769248,9,1
Q177008,15,4
Q177067,21,5
Q1771488,25,3
Q1771772,15,5
Q1773521,27,3
Q1773540,22,2
Q17747063,10,3
Q177550,17,3
Q1776168,19,4
Q1776735,15,0
Q17791424,4,1
Q1779602,14,4
Q178065,63,5
Q1781,259,5
Q178139,32,0
Q1781591,33,3
Q1782926,15,3
Q1783715,16,3
Q1783903,10,1
Q1785628,21,1
Q1786370,14,1
Q1786376,15,5
Q1786384,15,0
Q1786389,15,2
Q1786397,15,3
Q1786417,15,1
Q1786435,15,2
Q1786441,15,1
Q1787790,14,4
Q1788276,13,3
Q1788831,19,2
Q1789503,18,1
Q1789973,16,1
Q179027,26,4
Q1790750,30,0
Q1792159,15,1
Q179338,32,0
Q179351,92,2
Q1794858,24,4
Q1795153,12,3
Q1795450,13,4
Q1795689,11,0
Q1796144,17,1
Q179645,79,5
Q17985041,7,0
Q17985687,6,2
Q17985774,6,3
Q17985787,6,2
Q179861,9,1
Q17986375,6,2
Q17989657,13,0
Q17993729,20,0
Q1799636,18,4
Q1800033,6,2
Q180080,17,3
Q1801960,3,0
Q1802607,14,1
Q180294,73,5
Q1803007,9,2
Q1803672,27,4
Q1804771,15,2
Q1805874,13,3
Q180654,52,0
Q18068,78,5
Q1807096,14,5
Q1807521,20,4
Q180788,71,4
Q180865,82,5
Q180887,21,3
Q1808896,14,3
Q18102,56,3
Q1810737,8,3
Q1810832,18,0
Q18111940,2,3
Q18111943,2,1
Q181132,20,3
Q1811321,9,2
Q1811380,13,3
Q181146,31,1
Q1811748,15,4
Q1811770,14,4
Q1811786,12,3
Q1811811,13,4
Q1811832,15,5
Q1812569,13,4
Q1812621,10,2
Q18126224,4,2
Q181278,126,0
Q18128191,4,1
Q18128575,4,0
Q1813621,15,3
Q1813868,6,4
Q1814307,20,0
Q1814534,16,3
Q18150365,10,3
Q18150888,6,2
Q18151598,20,1
Q181523,13,5
Q1815235,14,3
Q1815575,13,4
Q181581,20,0
Q1816028,21,2
Q1816405,17,3
Q181649,15,5
Q18164965,3,3
Q18165801,6,2
Q18167806,6,2
Q18167812,6,3
Q18169481,12,2
Q1817021,14,1
Q1817058,15,1
Q1817090,14,2
Q1817103,10,4
Q1817188,18,4
Q181856,18,3
Q18191321,5,4
Q18191508,5,1
Q1819210,8,2
Q1819474,6,3
Q1819668,5,3
Q18199087,19,5
Q1820063,15,1
Q18201930,4,1
Q182080,20,0
Q18208614,21,1
Q1820897,20,4
Q18214101,2,2
Q182272,20,1
Q1823555,15,0
Q182379,18,1
Q1824069,15,3
Q182410,19,1
Q1826673,19,1
Q1826675,19,1
Q1826677,18,1
Q1826679,18,1
Q1826683,18,1
Q182737,14,1
Q18288155,51,0
Q1828988,8,3
Q183179,15,2
Q183213,81,1
Q1832307,14,3
Q1832732,27,1
Q1833555,14,3
Q1835176,9,5
Q183536,69,5
Q18359074,1,1
Q18359104,10,0
Q18393842,1,2
Q18394344,1,1
Q18396895,5,1
Q18398409,21,4
Q1840615,14,4
Q1841199,14,3
Q18415661,4,2
Q18418728,1,5
Q184374,8,3
Q18438915,6,0
Q184407,60,4
Q1846184,7,4
Q184619,55,2
Q1848303,9,3
Q1848345,14,3
Q1848374,13,4
Q1849031,16,5
Q1849858,36,5
Q18500330,21,0
Q1850417,16,3
Q1850543,37,0
Q1850958,14,1
Q1850965,14,3
Q1851912,19,5
Q185262,46,0
Q18536,60,5
Q1853707,19,3
Q1855438,15,4
Q1856083,12,5
Q1856380,20,0
Q185682,77,2
Q1857355,17,4
Q185741,52,5
Q18578018,5,2
Q1857828,12,1
Q1858,201,4
Q1859090,14,5
Q1859550,27,3
Q186115,65,5
Q18612409,6,1
Q186125,58,5
Q186173,20,3
Q186285,76,4
Q186309,69,4
Q18643986,3,3
Q1865371,9,4
Q1865480,86,3
Q186596,10,2
Q1866547,8,4
Q186984,5,1
Q187153,53,3
Q18718876,75,1
Q1877541,15,3
Q187840,62,5
Q187862,20,3
Q1878666,21,1
Q188002,22,1
Q1880894,16,0
Q1880954,16,2
Q18816,37,5
Q188190,66,5
Q188200,13,0
Q1883585,7,1
Q1884475,10,4
Q1884883,9,4
Q1885246,20,1
Q1886105,18,2
Q1886176,12,2
Q188712,97,0
Q188740,67,5
Q188771,60,2
Q1887879,26,3
Q188801,68,1
Q188856,60,5
Q1889010,13,3
Q188977,57,5
Q1889944,16,4
Q189022,65,4
Q1890230,15,1
Q1890537,15,5
Q189074,69,5
Q1891982,27,2
Q1893618,13,2
Q189503,62,5
Q1895953,38,3
Q18963386,4,4
Q189648,69,5
Q1898947,14,4
Q189960,64,5
Q190063,60,5
Q190088,70,3
Q1901870,18,5
Q19018824,2,2
Q19024,73,0
Q1902898,15,3
Q1905296,18,3
Q19060383,1,0
Q1907146,22,4
Q190804,70,5
Q19104,46,5
Q191066,52,0
Q191161,49,4
Q1912236,9,4
Q1913095,11,4
Q191415,72,3
Q191458,46,0
Q1914874,15,3
Q1915523,5,1
Q191583,62,3
Q19159390,3,1
Q1916402,33,0
Q191987,55,1
Q1920259,23,4
Q19207166,6,2
Q19208,27,3
Q1921454,7,3
Q192213,65,5
Q1923182,4,3
Q1923783,14,5
Q1924055,9,3
Q19260515,27,0
Q192680,45,4
Q192687,49,4
Q192807,77,5
Q192811,68,0
Q193093,68,3
Q1931371,7,4
Q193193,57,4
Q193196,69,4
Q1932118,16,3
Q1932222,9,2
Q193352,37,0
Q193370,70,3
Q193375,61,5
Q1933896,14,4
Q1934607,17,5
Q1934701,32,2
Q193478,58,3
Q193563,90,3
Q193582,61,2
Q1936132,9,2
Q193638,76,0
Q193639,52,5
Q193735,42,0
Q19381838,6,4
Q193819,68,4
Q19384094,11,2
Q193877,60,3
Q1939043,6,3
Q1939953,16,1
Q19409,27,0
Q194209,40,1
Q194420,50,4
Q19458383,2,2
Q1946061,12,4
Q194783,26,5
Q1947988,21,0
Q19483,66,1
Q1948938,15,5
Q1950363,12,3
Q195344,25,5
Q1953866,4,2
Q1954240,18,5
Q1954283,6,2
Q1954293,5,4
Q195436,36,3
Q1954384,17,3
Q1954395,9,3
Q195545,13,4
Q195668,37,3
Q19580291,7,4
Q19580569,4,5
Q19580828,4,5
Q19581000,4,4
Q19587431,6,2
Q1962448,9,3
Q1963278,12,4
Q1966699,15,4
Q19675,169,5
Q1967502,4,0
Q1967885,12,3
Q1968399,15,2
Q1968711,36,4
Q196970,21,3
Q1972207,29,2
Q197297,51,0
Q19746,21,2
Q1975038,9,0
Q1975540,32,1
Q197581,28,0
Q1975942,17,3
Q1977280,12,3
Q1977870,5,2
Q1979891,23,4
Q1982948,14,3
Q1983016,14,3
Q19840229,9,0
Q19849335,15,0
Q1988082,8,1
Q19880899,13,0
Q19891,46,1
Q19893931,9,4
Q19893933,3,4
Q19895556,7,1
Q1989758,14,4
Q1990172,28,2
Q1992413,24,4
Q1993298,13,1
Q1993476,48,0
Q1993587,11,3
Q19936583,28,0
Q19942087,8,3
Q1994806,19,4
Q1997098,14,4
Q1997239,26,3
Q199820,83,1
Q199821,74,0
Q2000502,11,4
Q2000528,27,2
Q2000553,21,0
Q2000929,24,3
Q200126,51,3
Q20014123,3,3
Q20014248,2,2
Q20017266,4,3
Q2001751,24,5
Q2001855,10,3
Q2001937,21,2
Q20021983,3,5
Q20021999,3,3
Q20022291,2,0
Q2002296,26,4
Q20027862,5,2
Q2003013,16,3
Q2003054,20,4
Q2004382,19,3
Q200464,90,0
Q2004752,14,3
Q20050750,6,1
Q20059161,10,3
Q200601,16,4
Q2006997,19,5
Q20075,88,0
Q2007919,24,3
Q2008448,23,1
Q200855,65,0
Q200959,50,5
Q2010247,21,4
Q201076,29,4
Q2012051,16,5
Q2013767,44,4
Q20138,17,4
Q2013874,23,5
Q2014072,10,2
Q201462,30,4
Q201469,60,4
Q2014690,14,3
Q2016175,14,4
Q2017682,23,2
Q20196262,26,4
Q201982,68,3
Q20203921,1,0
Q202059,54,1
Q202088,58,1
Q2021087,3,0
Q2021240,14,3
Q2021847,16,2
Q202206,50,5
Q202347,43,1
Q2023928,27,4
Q2024002,6,2
Q2024006,6,2
Q202487,57,4
Q202510,27,0
Q202530,20,2
Q202660,71,3
Q2027273,5,3
Q2027629,5,3
Q20278308,9,0
Q2028238,14,2
Q2030145,10,4
Q2030579,14,4
Q2030685,28,0
Q203245,55,0
Q2032637,18,4
Q203329,55,0
Q2033301,15,4
Q2033510,13,5
Q2034007,15,4
Q2034183,15,5
Q2034815,7,2
Q2035294,15,0
Q2035325,13,2
Q2035361,15,0
Q2035804,16,3
Q2036364,10,1
Q2036437,16,5
Q2036739,13,3
Q2037057,16,4
Q2037632,13,4
Q2037690,14,4
Q2037732,14,3
Q20379,36,1
Q2038079,15,4
Q2039347,11,3
Q203968,53,0
Q203983,55,0
Q204010,50,0
Q204083,8,4
Q2041028,15,4
Q2041945,7,3
Q2042382,8,2
Q204298,15,4
Q2043270,8,3
Q204361,27,4
Q2043643,9,2
Q20438955,9,0
Q2045115,20,5
Q2045972,18,3
Q204622,49,2
Q2046752,10,4
Q2047295,10,1
Q204763,14,3
Q2049367,11,4
